"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","12","1","20.835443","0","12"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","0.000000","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","25","25","1","0.000000","0","25"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","33","33","1","82.910797","0","33"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","33","33","1","81.862434","0","33"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","54","54","1","58.533474","0","54"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","24","1","61.802155","0","24"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","22.348492","0","10"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","8","9","1","18.058710","0","9"
"/ControlRig/M_Manip.M_Manip","0","8","9","1","11.739544","0","9"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","40","46","2","65.124016","0","46"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","0.000000","0","2"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","0.000000","0","5"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","27","29","1","35.116180","0","29"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","50","6","84.553452","0","50"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","92","0","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","100","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","7","7","1","0.000000","0","7"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","87","87","1","0.000000","0","87"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","123","123","1","102.446304","0","123"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","706","729","1","0.000000","0","729"
"/Game/Assets/Materials/M_EmissiveBase.M_EmissiveBase","0","12","12","1","13.427657","0","12"
"/Game/Assets/Materials/M_ParticleBase.M_ParticleBase","0","24","24","1","31.422325","0","24"
"/Game/Assets/Materials/M_TextureBase.M_TextureBase","0","12","12","1","12.651703","0","12"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","0.000000","0","2"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","25","25","1","23.132177","0","25"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","3.422675","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","3.323984","0","5"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","10","10","1","10.302288","0","10"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","0","13","13","1","0.000000","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","0","25","27","1","0.000000","0","27"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","0","25","27","1","0.000000","0","27"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","0","13","13","1","0.000000","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","0","13","13","1","0.000000","0","13"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","90","100","6","180.143677","0","100"
"/Game/Assets/Materials/Base/M_GridBase.M_GridBase","0","84","84","2","101.882431","0","84"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","54","58","1","176.314255","0","58"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","80","84","1","235.219025","0","84"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","234","244","6","1261.254517","0","244"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","234","244","6","1617.709961","0","244"
"/InterchangeAssets/gltf/M_Default.M_Default","0","242","260","6","1721.070312","0","260"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","242","260","6","1209.236450","0","260"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","76","76","2","2937.604492","0","76"
